,Locality,Type of property,Subtype of property,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Floor of appartment,Number of floors,Balcony,State of the property,Build Year,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Entry phone,Elevator,Number of showers,Orientation of the front facade,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage
10881,6020 Dampremy,house,residence,130000,2,110.0,Partially equipped,1,1,,,0,Normal,,14.92458136386376,0,32.21965370196777,1,11.983089848597869,0,0,1,,2,0,0,12.081282721781063,0,0,1,1,400.0,9.808631322976783,0
10882,6020 Dampremy,house,residence,198000,3,210.0,Partially equipped,1,1,,,0,Normal,,28.492382603739905,0,31.0,0,22.87680789277775,0,0,1,South-west,2,1,70.0,23.0642670143093,0,0,1,1,850.0,18.725568889319316,1
10883,6020 Dampremy,house,residence,159000,5,150.0,Partially equipped,1,1,,,0,Excellent,,20.0,0,40.0,1,16.340577066269823,0,0,1,East,3,1,30.0,18.0,0,0,1,1,215.0,13.0,0
10884,6020 Dampremy,house,residence,199000,3,232.0,Partially equipped,2,2,,,0,Excellent,,22.0,0,43.0,1,12.0,0,0,2,,3,0,0,16.0,0,0,1,0,,13.0,1
10885,6020 Dampremy,house,residence,105000,4,,Partially equipped,1,1,,,0,New,,18.0,0,26.0,1,,0,0,1,,3,0,,17.0,0,0,1,0,,17.0,0
10886,6020 Dampremy,house,residence,115000,2,87.0,Super equipped,1,1,,,0,Normal,,11.803987078692247,0,25.482817018829056,0,9.477534698436497,0,0,1,,2,0,0,9.555196334499568,0,0,1,0,,7.7577356827180015,0
10887,6020 Dampremy,house,mixed-building,365000,7,,Partially equipped,1,1,,,0,To be renovated,,,0,,0,,0,0,1,,2,0,0,,0,0,1,0,,,0
10888,6020 Dampremy,house,residence,89999,2,106.0,Partially equipped,1,1,,2,0,To be renovated,1950,19.0,0,22.0,0,19.0,0,0,1,,3,1,40.0,19.0,0,0,1,1,240.0,9.451953820323084,0
10889,6020 Dampremy,house,residence,199000,3,195.0,Partially equipped,1,2,,2,0,Excellent,,15.0,0,31.0,1,20.0,0,0,1,,2,1,15.0,18.0,0,0,1,1,100.0,44.0,0
10890,6020 Dampremy,house,residence,99999,2,104.0,Partially equipped,1,1,,2,0,Normal,1900,17.0,0,17.0,0,10.0,0,0,1,,2,0,0,17.0,0,0,1,1,12.0,9.273615068996232,0
